name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binary_trees_no_mp,python,1,21,719,103.575,274980,0,0% 0% 0% 38% 0% 0% 0% 62%,103.597
binary_trees_no_mp,python,1,21,719,103.580,274944,0,99% 0% 0% 0% 1% 0% 0% 0%,103.603
binary_trees_no_mp,python,1,21,719,103.992,275020,0,0% 0% 0% 8% 0% 0% 0% 92%,104.014
binary_trees_no_mp,python,1,21,719,103.486,274972,0,0% 0% 18% 0% 0% 0% 82% 0%,103.507
binary_trees_no_mp,python,1,21,719,103.747,275060,0,98% 0% 0% 0% 2% 0% 0% 0%,103.771
binary_trees_no_mp,python,1,21,719,103.633,275044,0,98% 0% 0% 0% 2% 0% 0% 0%,103.656
binary_trees_no_mp,python,1,21,719,103.511,275024,0,100% 0% 0% 0% 1% 0% 0% 0%,103.535
binary_trees_no_mp,python,1,21,719,104.190,275068,0,30% 72% 0% 0% 1% 1% 0% 0%,104.214
binary_trees_no_mp,python,1,21,719,103.667,275020,0,0% 0% 0% 42% 0% 0% 0% 58%,103.688
binary_trees_no_mp,python,1,21,719,103.786,274916,0,100% 0% 0% 0% 1% 0% 0% 0%,103.809
binary_trees_ref,julia,1,21,815,7.395,374576,0,100% 1% 2% 1% 1% 1% 2% 1%,6.931
binary_trees_ref,julia,1,21,815,7.400,388896,0,94% 1% 1% 1% 7% 1% 1% 1%,6.935
binary_trees_ref,julia,1,21,815,7.385,385288,0,96% 1% 1% 1% 5% 1% 1% 1%,6.921
binary_trees_ref,julia,1,21,815,7.413,386828,0,1% 1% 1% 46% 1% 1% 1% 55%,6.950
binary_trees_ref,julia,1,21,815,7.402,385032,0,1% 1% 1% 67% 1% 1% 1% 34%,6.939
binary_trees_ref,julia,1,21,815,7.381,373516,0,90% 1% 1% 1% 11% 1% 1% 1%,6.915
binary_trees_ref,julia,1,21,815,7.385,374196,0,1% 1% 1% 95% 1% 1% 1% 6%,6.919
binary_trees_ref,julia,1,21,815,7.353,373616,0,1% 1% 53% 1% 1% 1% 48% 1%,6.890
binary_trees_ref,julia,1,21,815,7.387,387788,0,92% 1% 1% 1% 9% 1% 1% 1%,6.922
binary_trees_ref,julia,1,21,815,7.384,393296,0,1% 1% 100% 1% 1% 1% 1% 1%,6.919
binary_trees_no_mp,julia,1,21,615,11.976,255940,0,99% 1% 1% 1% 3% 1% 1% 1%,11.509
binary_trees_no_mp,julia,1,21,615,12.094,256860,0,1% 1% 48% 1% 1% 1% 52% 1%,11.626
binary_trees_no_mp,julia,1,21,615,12.041,256072,0,1% 1% 1% 49% 1% 1% 1% 52%,11.574
binary_trees_no_mp,julia,1,21,615,11.930,255852,0,1% 1% 99% 1% 1% 1% 1% 1%,11.462
binary_trees_no_mp,julia,1,21,615,12.107,256104,0,1% 1% 1% 25% 1% 1% 1% 76%,11.639
binary_trees_no_mp,julia,1,21,615,11.917,255976,0,1% 1% 82% 1% 1% 1% 18% 1%,11.450
binary_trees_no_mp,julia,1,21,615,11.937,256952,0,1% 7% 1% 1% 1% 93% 1% 1%,11.472
binary_trees_no_mp,julia,1,21,615,12.016,256168,0,99% 1% 1% 1% 1% 1% 1% 1%,11.549
