name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fasta_no_resumable,julia,1,10000,962,0.989,195392,0,13% 98% 15% 13% 13% 12% 13% 14%,0.521
fasta_no_resumable,julia,1,100000,962,1.026,195760,0,13% 13% 100% 13% 13% 13% 13% 13%,0.558
fasta_no_resumable,julia,1,1000000,962,1.379,270196,0,96% 7% 9% 8% 11% 8% 8% 9%,0.910
fasta_no_resumable,julia,1,10000000,962,4.589,259392,0,2% 2% 100% 1% 2% 2% 1% 2%,4.121
fasta_no_resumable,julia,1,25000000,962,10.531,275828,0,1% 1% 100% 1% 1% 1% 1% 1%,10.065
fasta_no_resumable,julia,1,25000000,962,10.474,276704,0,1% 1% 1% 1% 1% 1% 100% 1%,10.006
fasta_no_resumable,julia,1,25000000,962,10.371,276428,0,1% 99% 1% 1% 1% 2% 1% 1%,9.904
fasta_no_resumable,julia,1,25000000,962,10.391,274896,0,1% 36% 1% 1% 5% 65% 1% 1%,9.926
fasta_no_resumable,julia,1,25000000,962,10.405,275088,0,1% 1% 54% 1% 13% 1% 47% 1%,9.937
fasta_no_resumable,julia,1,25000000,962,10.382,275884,0,1% 21% 1% 1% 1% 79% 1% 1%,9.917
fasta_no_resumable,julia,1,25000000,962,10.601,275816,0,1% 1% 1% 100% 1% 1% 1% 1%,10.134
fasta_no_resumable,julia,1,25000000,962,10.388,276376,0,79% 1% 1% 1% 22% 1% 1% 1%,9.921
fasta_no_resumable,julia,1,25000000,962,10.440,276248,0,1% 1% 1% 52% 1% 1% 1% 49%,9.973
fasta_no_resumable,julia,1,25000000,962,10.434,276496,0,1% 69% 1% 1% 1% 31% 1% 1%,9.968
fasta_ref,julia,1,10000,1564,0.747,748,0,22% 28% 29% 57% 26% 25% 25% 63%,0.280
fasta_ref,julia,1,100000,1564,0.741,744,0,41% 23% 25% 25% 86% 28% 25% 25%,0.276
fasta_ref,julia,1,1000000,1564,0.765,756,0,24% 47% 26% 26% 23% 77% 21% 26%,0.298
fasta_ref,julia,1,10000000,1564,0.998,200552,0,15% 13% 11% 98% 13% 13% 13% 13%,0.531
fasta_ref,julia,1,25000000,1564,1.385,201616,0,9% 67% 9% 7% 9% 40% 9% 8%,0.918
fasta_ref,julia,1,25000000,1564,1.295,202004,0,8% 9% 8% 98% 11% 11% 10% 10%,0.828
fasta_ref,julia,1,25000000,1564,1.293,202224,0,11% 86% 10% 9% 10% 22% 7% 8%,0.825
fasta_ref,julia,1,25000000,1564,1.293,201584,0,8% 10% 11% 11% 7% 8% 8% 98%,0.827
fasta_ref,julia,1,25000000,1564,1.293,201448,0,9% 7% 8% 9% 9% 7% 10% 98%,0.827
fasta_ref,julia,1,25000000,1564,1.292,202312,0,9% 9% 9% 8% 9% 10% 10% 100%,0.825
fasta_ref,julia,1,25000000,1564,1.290,201528,0,10% 93% 9% 7% 7% 13% 9% 7%,0.824
fasta_ref,julia,1,25000000,1564,1.293,201624,0,8% 31% 9% 64% 12% 77% 9% 8%,0.826
fasta_ref,julia,1,25000000,1564,1.291,202684,0,99% 7% 9% 8% 8% 10% 8% 7%,0.824
fasta_ref,julia,1,25000000,1564,1.293,201744,0,7% 10% 9% 10% 9% 9% 9% 98%,0.824
fasta,julia,1,10000,919,5.301,297188,0,2% 60% 1% 1% 1% 42% 2% 1%,4.836
fasta,julia,1,100000,919,5.419,296952,0,1% 2% 2% 2% 1% 100% 2% 2%,4.954
fasta,julia,1,1000000,919,6.783,307632,0,1% 1% 1% 1% 1% 100% 1% 1%,6.319
fasta,julia,1,10000000,919,21.380,317660,0,0% 76% 0% 0% 1% 24% 1% 0%,20.920
fasta,julia,1,25000000,919,47.737,324832,0,57% 1% 1% 24% 4% 1% 3% 18%,47.313
