name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binary_trees_no_mp,python,1,21,703,103.771,274880,0,0% 0% 0% 14% 0% 0% 0% 87%,103.794
binary_trees_no_mp,python,1,21,703,103.501,274900,0,0% 30% 0% 0% 0% 71% 0% 0%,103.541
binary_trees_no_mp,python,1,21,703,103.364,274896,0,0% 74% 0% 0% 0% 26% 0% 0%,103.391
binary_trees_no_mp,python,1,21,703,103.732,274880,0,0% 0% 91% 0% 0% 0% 9% 0%,103.754
binary_trees_no_mp,python,1,21,703,103.547,274900,0,0% 0% 100% 0% 0% 0% 0% 0%,103.569
binary_trees_no_mp,python,1,21,703,103.327,275008,0,0% 0% 93% 0% 0% 0% 7% 0%,103.35
binary_trees_no_mp,python,1,21,703,103.701,274896,0,99% 0% 0% 0% 2% 0% 0% 0%,103.725
binary_trees_no_mp,python,1,21,703,103.624,275028,0,0% 0% 0% 59% 0% 0% 0% 41%,103.647
binary_trees_no_mp,python,1,21,703,103.703,274980,0,0% 80% 0% 0% 0% 20% 0% 0%,103.731
binary_trees_no_mp,python,1,21,703,103.299,274876,0,0% 0% 56% 0% 0% 0% 44% 0%,103.319
binary_trees_ref,julia,1,21,815,7.422,398900,0,1% 1% 1% 68% 1% 1% 1% 28%,7.387
binary_trees_ref,julia,1,21,815,7.452,387848,0,1% 1% 1% 1% 1% 1% 1% 100%,6.985
binary_trees_ref,julia,1,21,815,7.373,373676,0,1% 1% 1% 53% 1% 1% 1% 48%,6.907
binary_trees_ref,julia,1,21,815,7.344,368872,0,100% 1% 1% 1% 1% 1% 1% 1%,6.879
binary_trees_ref,julia,1,21,815,7.314,373608,0,1% 1% 77% 1% 2% 1% 23% 1%,6.848
binary_trees_ref,julia,1,21,815,7.338,373672,0,3% 30% 1% 1% 1% 71% 1% 1%,6.874
binary_trees_ref,julia,1,21,815,7.34,388660,0,1% 100% 1% 1% 1% 1% 1% 1%,6.875
binary_trees_ref,julia,1,21,815,7.34,380116,0,1% 98% 1% 1% 1% 3% 1% 1%,6.875
binary_trees_ref,julia,1,21,815,7.416,393332,0,1% 1% 1% 1% 1% 100% 1% 1%,6.952
binary_trees_ref,julia,1,21,815,7.337,373908,0,100% 1% 1% 1% 1% 1% 1% 1%,6.872
binary_trees_no_mp,julia,1,21,626,12.179,240424,0,1% 1% 1% 33% 1% 1% 1% 55%,13.712
binary_trees_no_mp,julia,1,21,626,12.136,240344,0,1% 1% 1% 89% 1% 1% 1% 12%,11.668
binary_trees_no_mp,julia,1,21,626,12.154,240812,0,96% 1% 1% 1% 5% 1% 1% 1%,11.686
binary_trees_no_mp,julia,1,21,626,12.092,240104,0,1% 1% 1% 93% 1% 1% 1% 7%,11.624
binary_trees_no_mp,julia,1,21,626,12.094,240264,0,1% 1% 1% 98% 1% 1% 1% 3%,11.627
binary_trees_no_mp,julia,1,21,626,11.932,240648,0,1% 1% 1% 33% 1% 1% 1% 68%,11.464
binary_trees_no_mp,julia,1,21,626,12.084,240664,0,99% 1% 1% 1% 1% 1% 1% 1%,11.616
binary_trees_no_mp,julia,1,21,626,11.973,240924,0,1% 1% 1% 36% 1% 1% 1% 64%,11.505
binary_trees_no_mp,julia,1,21,626,11.938,240748,0,100% 1% 1% 1% 1% 1% 1% 1%,11.47
binary_trees_no_mp,julia,1,21,626,12.125,239968,0,1% 1% 1% 52% 1% 1% 1% 49%,11.657
fasta_ref,julia,1,25000000,1564,1.379,201656,0,9% 7% 8% 99% 8% 8% 7% 8%,0.911
fasta_ref,julia,1,25000000,1564,1.291,201228,0,7% 7% 7% 99% 8% 9% 10% 9%,0.823
fasta_ref,julia,1,25000000,1564,1.289,201104,0,11% 86% 10% 9% 9% 22% 8% 9%,0.821
fasta_ref,julia,1,25000000,1564,1.293,202356,0,8% 10% 7% 8% 8% 8% 100% 9%,0.824
fasta_ref,julia,1,25000000,1564,1.288,201092,0,9% 7% 99% 9% 7% 10% 9% 9%,0.819
fasta_ref,julia,1,25000000,1564,1.297,201556,0,95% 9% 10% 7% 13% 9% 8% 7%,0.828
fasta_ref,julia,1,25000000,1564,1.295,201264,0,9% 7% 99% 10% 10% 8% 8% 7%,0.826
fasta_ref,julia,1,25000000,1564,1.292,201752,0,9% 9% 7% 9% 9% 8% 99% 9%,0.823
fasta_ref,julia,1,25000000,1564,1.295,201568,0,10% 10% 10% 9% 7% 7% 99% 7%,0.826
fasta_ref,julia,1,25000000,1564,1.288,201268,0,99% 9% 9% 9% 10% 9% 7% 11%,0.819
fasta,julia,1,25000000,919,46.487,324420,0,99% 0% 0% 0% 2% 0% 0% 0%,46.085
fasta,julia,1,25000000,919,46.558,323684,0,0% 59% 0% 0% 0% 41% 0% 0%,46.11
fasta,julia,1,25000000,919,46.839,324356,0,0% 0% 27% 0% 0% 0% 73% 0%,46.384
fasta,julia,1,25000000,919,46.495,324496,0,0% 0% 100% 0% 0% 0% 0% 0%,46.042
fasta,julia,1,25000000,919,46.437,323744,0,0% 0% 0% 80% 0% 0% 0% 21%,45.982
fasta,julia,1,25000000,919,46.424,324328,0,98% 0% 0% 0% 2% 0% 0% 0%,45.969
fasta,julia,1,25000000,919,46.9,324532,0,0% 0% 0% 50% 0% 0% 0% 50%,46.444
fasta,julia,1,25000000,919,46.021,324220,0,0% 0% 46% 0% 0% 0% 54% 0%,45.567
fasta,julia,1,25000000,919,46.242,324444,0,0% 0% 91% 0% 0% 0% 9% 0%,45.788
fasta,julia,1,25000000,919,46.188,324496,0,0% 90% 0% 0% 0% 10% 0% 0%,45.735
fasta_optimized,julia,1,25000000,965,35.111,323672,0,100% 0% 0% 0% 0% 0% 0% 0%,34.664
fasta_optimized,julia,1,25000000,965,35.609,323612,0,0% 70% 0% 2% 0% 30% 0% 0%,35.153
fasta_optimized,julia,1,25000000,965,34.983,323752,0,0% 0% 37% 0% 0% 0% 63% 0%,34.525
fasta_optimized,julia,1,25000000,965,34.531,323848,0,100% 0% 0% 0% 1% 0% 0% 0%,34.074
fasta_optimized,julia,1,25000000,965,35.187,323208,0,0% 0% 93% 0% 0% 0% 8% 0%,34.729
fasta_optimized,julia,1,25000000,965,35.001,322972,0,0% 0% 66% 0% 0% 0% 35% 0%,34.543
fasta_optimized,julia,1,25000000,965,35.632,323152,0,0% 91% 0% 0% 0% 9% 0% 0%,35.175
fasta_optimized,julia,1,25000000,965,35.279,323036,0,0% 0% 0% 33% 0% 0% 0% 67%,34.821
fasta_optimized,julia,1,25000000,965,35.291,323660,0,87% 0% 0% 0% 13% 0% 0% 0%,34.833
fasta_optimized,julia,1,25000000,965,34.748,323468,0,0% 0% 67% 0% 0% 0% 33% 0%,34.29
fasta,python,1,25000000,916,47.212,8612,0,0% 0% 65% 0% 1% 0% 35% 0%,47.22
fasta,python,1,25000000,916,47.271,8724,0,0% 0% 11% 0% 0% 0% 89% 0%,47.276
fasta,python,1,25000000,916,47.186,8672,0,0% 0% 0% 0% 0% 0% 100% 0%,47.192
fasta,python,1,25000000,916,47.502,8552,0,0% 0% 0% 10% 0% 0% 0% 90%,47.509
fasta,python,1,25000000,916,47.366,8684,0,0% 0% 0% 100% 0% 0% 0% 0%,47.371
fasta,python,1,25000000,916,47.473,8772,0,0% 0% 0% 0% 0% 0% 100% 0%,47.479
fasta,python,1,25000000,916,47.299,8660,0,0% 0% 0% 0% 0% 0% 0% 100%,47.305
fasta,python,1,25000000,916,47.009,8612,0,0% 0% 0% 47% 0% 0% 0% 53%,47.015
fasta,python,1,25000000,916,47.233,8600,0,0% 0% 0% 72% 0% 0% 0% 28%,47.239
fasta,python,1,25000000,916,46.509,8672,0,0% 0% 100% 0% 0% 0% 0% 0%,46.515
fasta_channels,julia,1,25000000,913,325.736,270360,0,0% 0% 70% 0% 0% 0% 30% 0%,325.353
fasta_channels,julia,1,25000000,913,323.521,271844,0,99% 0% 0% 0% 1% 0% 0% 0%,323.098
fasta_channels,julia,1,25000000,913,326.695,270860,0,99% 0% 0% 0% 1% 0% 0% 0%,326.277
fasta_channels,julia,1,25000000,913,324.018,271572,0,0% 0% 47% 0% 0% 0% 53% 0%,323.593
fasta_channels,julia,1,25000000,913,323.893,271668,0,0% 82% 0% 0% 0% 18% 0% 0%,323.482
fasta_channels,julia,1,25000000,913,325.135,271660,0,0% 60% 0% 0% 0% 40% 0% 0%,324.738
fasta_channels,julia,1,25000000,913,327.712,271088,0,0% 0% 86% 0% 0% 0% 14% 0%,327.286
fasta_channels,julia,1,25000000,913,334.896,270780,0,98% 0% 0% 0% 2% 0% 0% 0%,334.478
fasta_channels,julia,1,25000000,913,332.302,270740,0,0% 0% 0% 43% 0% 0% 0% 57%,331.878
fasta_channels,julia,1,25000000,913,325.804,272112,0,99% 0% 0% 0% 1% 0% 0% 0%,325.385
pidigits_ref,julia,1,10000,396,2.009,255372,0,5% 5% 96% 5% 5% 5% 8% 5%,1.541
pidigits_ref,julia,1,10000,396,2.005,255476,0,4% 5% 99% 6% 5% 5% 5% 5%,1.536
pidigits_ref,julia,1,10000,396,2.007,255424,0,5% 5% 99% 4% 5% 4% 4% 5%,1.539
pidigits_ref,julia,1,10000,396,2.016,255668,0,5% 5% 5% 98% 5% 5% 5% 6%,1.547
pidigits_ref,julia,1,10000,396,2.058,254988,0,4% 4% 4% 70% 4% 5% 4% 33%,1.591
pidigits_ref,julia,1,10000,396,2.006,255068,0,99% 5% 5% 6% 5% 4% 5% 5%,1.539
pidigits_ref,julia,1,10000,396,2.089,255120,0,59% 4% 4% 4% 45% 6% 5% 5%,1.621
pidigits_ref,julia,1,10000,396,2.02,255800,0,5% 5% 5% 80% 5% 5% 5% 23%,1.552
pidigits_ref,julia,1,10000,396,2.005,255780,0,5% 4% 99% 5% 5% 5% 5% 5%,1.536
pidigits_ref,julia,1,10000,396,2.001,255792,0,5% 99% 5% 5% 5% 5% 5% 5%,1.534
pydigits,julia,1,10000,411,2.024,258784,0,99% 5% 4% 5% 4% 5% 4% 4%,1.558
pydigits,julia,1,10000,411,2.035,263212,0,4% 4% 4% 91% 4% 4% 4% 13%,1.567
pydigits,julia,1,10000,411,2.017,254388,0,100% 5% 5% 5% 5% 5% 5% 5%,1.549
pydigits,julia,1,10000,411,2.021,254280,0,94% 5% 5% 5% 11% 5% 4% 4%,1.553
pydigits,julia,1,10000,411,2.012,253404,0,4% 100% 5% 5% 5% 5% 5% 4%,1.544
pydigits,julia,1,10000,411,2.103,254596,0,4% 4% 4% 5% 4% 100% 4% 4%,1.636
pydigits,julia,1,10000,411,2.012,254216,0,5% 99% 5% 5% 5% 4% 5% 5%,1.543
pydigits,julia,1,10000,411,2.021,260920,0,5% 4% 6% 5% 4% 5% 98% 5%,1.553
pydigits,julia,1,10000,411,2.101,254396,0,4% 4% 5% 4% 5% 100% 4% 4%,1.633
pydigits,julia,1,10000,411,2.021,269784,0,5% 49% 4% 4% 5% 55% 4% 4%,1.553
pidigits,python,1,10000,518,2.665,9372,0,0% 49% 0% 0% 0% 51% 0% 0%,2.666
pidigits,python,1,10000,518,2.665,9384,0,98% 0% 0% 0% 1% 0% 0% 0%,2.666
pidigits,python,1,10000,518,2.664,9412,0,0% 1% 0% 0% 0% 99% 0% 0%,2.666
pidigits,python,1,10000,518,2.659,9532,0,66% 0% 0% 0% 34% 0% 0% 0%,2.66
pidigits,python,1,10000,518,2.664,9560,0,0% 100% 0% 0% 0% 0% 0% 0%,2.665
pidigits,python,1,10000,518,2.666,9584,0,100% 0% 0% 0% 0% 0% 0% 0%,2.667
pidigits,python,1,10000,518,2.663,9424,0,100% 0% 0% 0% 0% 0% 0% 0%,2.664
pidigits,python,1,10000,518,2.66,9396,0,0% 100% 0% 0% 0% 0% 0% 0%,2.661
pidigits,python,1,10000,518,2.659,9456,0,100% 0% 0% 0% 0% 0% 0% 0%,2.66
pidigits,python,1,10000,518,2.659,9520,0,0% 100% 0% 0% 0% 0% 0% 0%,2.66
n_body_optimized,julia,1,50000000,1254,45.159,237612,0,8% 2% 59% 2% 4% 2% 32% 2%,44.697
n_body_optimized,julia,1,50000000,1254,45.301,237256,0,49% 5% 13% 20% 5% 6% 13% 18%,44.865
n_body_optimized,julia,1,50000000,1254,45.411,237092,0,5% 5% 50% 15% 5% 5% 26% 21%,44.973
n_body_optimized,julia,1,50000000,1254,45.324,237904,0,4% 4% 73% 4% 4% 5% 30% 4%,44.888
n_body_optimized,julia,1,50000000,1254,45.268,238084,0,84% 4% 5% 4% 18% 4% 4% 4%,44.841
n_body_optimized,julia,1,50000000,1254,45.328,237592,0,14% 28% 2% 34% 7% 10% 3% 21%,44.919
n_body_optimized,julia,1,50000000,1254,45.273,237908,0,3% 3% 3% 46% 3% 3% 3% 56%,44.892
n_body_optimized,julia,1,50000000,1254,45.248,237008,0,3% 50% 12% 8% 3% 27% 10% 6%,44.818
n_body_optimized,julia,1,50000000,1254,45.135,236916,0,6% 1% 41% 8% 1% 1% 25% 26%,44.689
n_body_optimized,julia,1,50000000,1254,45.155,236928,0,1% 23% 1% 47% 1% 17% 1% 17%,44.76
n_body_problem,julia,1,50000000,1206,793.595,245524,0,17% 26% 25% 15% 11% 15% 18% 19%,793.918
n_body_problem,python,1,50000000,1341,335.056,8692,0,2% 38% 19% 11% 2% 12% 19% 9%,335.236
n_body_problem,python,1,50000000,1341,359.954,8660,0,24% 13% 21% 19% 6% 7% 14% 23%,360.225
n_body_problem,python,1,50000000,1341,344.895,8668,0,14% 5% 7% 33% 5% 4% 5% 52%,345.291
n_body_problem,python,1,50000000,1341,334.681,8660,0,6% 30% 10% 15% 1% 6% 7% 32%,334.892
n_body_problem,python,1,50000000,1341,346.688,8720,0,13% 25% 19% 24% 10% 15% 22% 25%,347.073
n_body_problem,python,1,50000000,1341,343.32,8720,0,7% 29% 19% 20% 6% 14% 13% 32%,343.643
n_body_problem,python,1,50000000,1341,339.406,8688,0,7% 16% 19% 28% 5% 8% 16% 32%,339.8
n_body_problem,python,1,50000000,1341,361.976,8748,0,6% 17% 40% 15% 5% 11% 24% 18%,362.218
n_body_problem,python,1,50000000,1341,355.04,8632,0,14% 30% 39% 11% 9% 18% 17% 9%,355.324
n_body_problem,python,1,50000000,1341,345.798,8668,0,15% 20% 27% 26% 11% 15% 20% 27%,346.165
regex_redux_no_mp,python,1,10000,612,11.108,347528,0,47% 37% 12% 13% 20% 34% 12% 16%,11.124
regex_redux_no_mp,python,1,10000,612,11.003,401336,0,3% 6% 4% 39% 3% 5% 5% 62%,11.022
regex_redux_no_mp,python,1,10000,612,11.045,342492,0,56% 43% 9% 7% 9% 12% 8% 8%,11.052
regex_redux_no_mp,python,1,10000,612,11.345,361856,0,9% 16% 64% 9% 8% 8% 33% 9%,11.35
regex_redux_no_mp,python,1,10000,612,11.007,405812,0,77% 10% 24% 15% 26% 9% 9% 12%,11.012
regex_redux_no_mp,python,1,10000,612,11.001,371016,0,81% 4% 6% 4% 22% 5% 6% 5%,11.006
regex_redux_no_mp,python,1,10000,612,10.995,371656,0,80% 6% 6% 6% 23% 6% 6% 7%,11
regex_redux_no_mp,python,1,10000,612,11.173,337176,0,81% 14% 5% 6% 14% 9% 7% 5%,11.179
regex_redux_no_mp,python,1,10000,612,10.905,361384,0,73% 3% 2% 2% 28% 2% 2% 2%,10.908
regex_redux_no_mp,python,1,10000,612,11.546,381956,0,36% 25% 51% 25% 22% 29% 47% 21%,11.555
regex_redux_ref,julia,1,10000,539,3.074,327416,0,73% 19% 38% 18% 40% 14% 15% 17%,2.697
regex_redux_ref,julia,1,10000,539,3.079,328208,0,68% 34% 42% 29% 52% 28% 29% 25%,2.729
regex_redux_ref,julia,1,10000,539,3.065,327856,0,10% 9% 75% 9% 10% 9% 31% 8%,2.644
regex_redux_ref,julia,1,10000,539,3.083,346864,0,10% 44% 10% 24% 25% 16% 13% 64%,2.64
regex_redux_ref,julia,1,10000,539,3.097,327892,0,62% 22% 72% 23% 25% 21% 39% 18%,2.698
regex_redux_ref,julia,1,10000,539,3.066,360512,0,11% 82% 9% 11% 10% 26% 9% 8%,2.636
regex_redux_ref,julia,1,10000,539,3.094,328244,0,6% 9% 66% 14% 4% 12% 14% 24%,2.647
