name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binary_trees_write,julia,1,20,633,6.429,217920,0,91% 11% 7% 9% 13% 9% 8% 8%,5.976
binary_trees_write,julia,1,20,633,6.363,218880,0,2% 2% 3% 93% 2% 2% 3% 9%,5.899
binary_trees_write,julia,1,20,633,6.420,217792,0,95% 2% 2% 2% 6% 2% 2% 1%,5.956
binary_trees_write,julia,1,20,633,6.384,218292,0,1% 2% 1% 67% 1% 2% 1% 35%,5.920
binary_trees_write,julia,1,20,633,6.393,218380,0,3% 64% 5% 5% 4% 37% 5% 4%,5.929
binary_trees_write,julia,1,20,633,6.394,217740,0,2% 2% 2% 44% 2% 2% 2% 57%,5.930
binary_trees_write,julia,1,20,633,6.350,217852,0,1% 2% 39% 1% 2% 2% 62% 2%,5.887
binary_trees_write,julia,1,20,633,6.331,217736,0,2% 3% 45% 2% 2% 3% 56% 2%,5.867
binary_trees_write,julia,1,20,633,6.395,217720,0,2% 2% 92% 1% 2% 2% 9% 2%,5.931
binary_trees_write,julia,1,20,633,6.374,217864,0,2% 2% 80% 2% 1% 2% 21% 1%,5.913
binary_trees_no_mp,python,1,20,713,52.676,144080,0,62% 2% 3% 18% 16% 3% 2% 10%,52.692
binary_trees_no_mp,python,1,20,713,52.224,144016,0,1% 1% 62% 4% 1% 1% 33% 2%,52.238
binary_trees_no_mp,python,1,20,713,52.364,143976,0,1% 39% 22% 1% 1% 17% 23% 1%,52.379
binary_trees_no_mp,python,1,20,713,52.228,144092,0,1% 1% 46% 1% 1% 1% 55% 1%,52.241
binary_trees_no_mp,python,1,20,713,52.438,143988,0,84% 1% 1% 1% 16% 1% 1% 1%,52.452
binary_trees_no_mp,python,1,20,713,52.271,144104,0,1% 1% 1% 64% 1% 1% 1% 36%,52.285
binary_trees_no_mp,python,1,20,713,52.297,144104,0,1% 1% 63% 1% 1% 1% 37% 1%,52.310
binary_trees_no_mp,python,1,20,713,52.377,144120,0,1% 1% 1% 49% 1% 1% 1% 51%,52.391
binary_trees_no_mp,python,1,20,713,52.247,143984,0,1% 1% 40% 1% 1% 1% 60% 1%,52.260
binary_trees_no_mp,python,1,20,713,52.548,144092,0,87% 1% 1% 1% 14% 1% 1% 1%,52.563
binary_trees_ref,julia,1,20,786,4.017,286284,0,16% 17% 80% 18% 13% 14% 29% 18%,3.554
binary_trees_ref,julia,1,20,786,3.918,279832,0,4% 2% 2% 2% 2% 3% 2% 100%,3.459
binary_trees_ref,julia,1,20,786,3.956,275292,0,5% 4% 77% 5% 2% 3% 28% 3%,3.492
binary_trees_ref,julia,1,20,786,3.910,284720,0,3% 5% 4% 26% 4% 3% 3% 77%,3.456
binary_trees_ref,julia,1,20,786,3.904,286564,0,93% 4% 4% 5% 10% 4% 4% 3%,3.440
binary_trees_ref,julia,1,20,786,3.891,271700,0,3% 14% 3% 3% 2% 89% 3% 3%,3.432
binary_trees_ref,julia,1,20,786,3.899,271532,0,2% 2% 49% 2% 3% 3% 53% 3%,3.435
binary_trees_ref,julia,1,20,786,3.935,274652,0,5% 7% 46% 5% 5% 6% 57% 6%,3.471
binary_trees_ref,julia,1,20,786,3.915,286640,0,3% 5% 47% 4% 5% 3% 56% 4%,3.450
binary_trees_ref,julia,1,20,786,3.899,272040,0,4% 3% 17% 3% 4% 3% 85% 4%,3.435
binary_trees_no_mp,julia,1,20,626,6.413,218804,0,68% 9% 11% 11% 37% 8% 10% 7%,5.950
binary_trees_no_mp,julia,1,20,626,6.353,218132,0,1% 49% 1% 2% 2% 52% 2% 2%,5.889
binary_trees_no_mp,julia,1,20,626,6.357,218892,0,2% 2% 2% 6% 2% 2% 2% 96%,5.893
binary_trees_no_mp,julia,1,20,626,6.332,218192,0,2% 2% 2% 40% 3% 2% 2% 61%,5.873
binary_trees_no_mp,julia,1,20,626,6.455,219132,0,3% 2% 4% 95% 3% 4% 4% 10%,5.993
binary_trees_no_mp,julia,1,20,626,6.340,218284,0,2% 2% 2% 100% 2% 2% 2% 2%,5.877
binary_trees_no_mp,julia,1,20,626,6.345,219116,0,2% 2% 2% 1% 2% 2% 2% 100%,5.882
binary_trees_no_mp,julia,1,20,626,6.381,218272,0,1% 80% 2% 2% 2% 22% 2% 2%,5.917
binary_trees_no_mp,julia,1,20,626,6.367,218236,0,2% 2% 41% 3% 2% 2% 61% 2%,5.903
binary_trees_no_mp,julia,1,20,626,6.399,218468,0,2% 2% 100% 2% 2% 2% 1% 2%,5.936
